Ddye01G002950	evm.TU.HIC_ASM_0.394
Ddye01G002960	evm.TU.HIC_ASM_0.395
Ddye01G002970	evm.TU.HIC_ASM_0.396
Ddye01G002980	evm.TU.HIC_ASM_0.397
Ddye01G002990	evm.TU.HIC_ASM_0.398
Ddye01G003000	evm.TU.HIC_ASM_0.399
Ddye01G003010	evm.TU.HIC_ASM_0.400
Ddye01G003020	evm.TU.HIC_ASM_0.401
Ddye01G003030	evm.TU.HIC_ASM_0.402
Ddye01G003040	evm.TU.HIC_ASM_0.403
Ddye01G003050	evm.TU.HIC_ASM_0.404
Ddye01G003060	evm.TU.HIC_ASM_0.406
Ddye01G003070	evm.TU.HIC_ASM_0.407
Ddye01G003080	evm.TU.HIC_ASM_0.408
Ddye01G003090	evm.TU.HIC_ASM_0.409
Ddye01G003100	evm.TU.HIC_ASM_0.410
Ddye01G003110	evm.TU.HIC_ASM_0.413
Ddye01G003120	evm.TU.HIC_ASM_0.414
Ddye01G003130	evm.TU.HIC_ASM_0.415
Ddye01G003140	evm.TU.HIC_ASM_0.416
Ddye01G003150	evm.TU.HIC_ASM_0.417
Ddye01G003160	evm.TU.HIC_ASM_0.418
Ddye01G003170	evm.TU.HIC_ASM_0.419
Ddye01G003180	evm.TU.HIC_ASM_0.420
Ddye01G003190	evm.TU.HIC_ASM_0.421
Ddye01G003200	evm.TU.HIC_ASM_0.422
Ddye01G003210	evm.TU.HIC_ASM_0.423
Ddye01G003220	evm.TU.HIC_ASM_0.424
Ddye01G003230	evm.TU.HIC_ASM_0.425
Ddye01G003240	evm.TU.HIC_ASM_0.426
Ddye01G003250	evm.TU.HIC_ASM_0.428
Ddye01G003260	evm.TU.HIC_ASM_0.429
Ddye01G003270	evm.TU.HIC_ASM_0.430
Ddye01G003280	evm.TU.HIC_ASM_0.433
Ddye01G003290	evm.TU.HIC_ASM_0.436
Ddye01G003300	evm.TU.HIC_ASM_0.437
Ddye01G003310	evm.TU.HIC_ASM_0.438
