Dsin_scaffold216	ORIGINAL_SCAFFOLD_1188
Dsin_scaffold217	ORIGINAL_SCAFFOLD_1189
Dsin_scaffold218	ORIGINAL_SCAFFOLD_1190
Dsin_scaffold219	ORIGINAL_SCAFFOLD_1191
Dsin_scaffold220	ORIGINAL_SCAFFOLD_1192
Dsin_scaffold221	ORIGINAL_SCAFFOLD_1193
Dsin_scaffold222	ORIGINAL_SCAFFOLD_1194
Dsin_scaffold223	ORIGINAL_SCAFFOLD_1195
Dsin_scaffold224	ORIGINAL_SCAFFOLD_1196
Dsin_scaffold225	ORIGINAL_SCAFFOLD_1197
Dsin_scaffold226	ORIGINAL_SCAFFOLD_121
Dsin_scaffold227	ORIGINAL_SCAFFOLD_122
Dsin_scaffold228	ORIGINAL_SCAFFOLD_123
Dsin_scaffold229	ORIGINAL_SCAFFOLD_124
Dsin_scaffold230	ORIGINAL_SCAFFOLD_125
Dsin_scaffold231	ORIGINAL_SCAFFOLD_126
Dsin_scaffold232	ORIGINAL_SCAFFOLD_127
Dsin_scaffold233	ORIGINAL_SCAFFOLD_128
Dsin_scaffold234	ORIGINAL_SCAFFOLD_129
Dsin_scaffold235	ORIGINAL_SCAFFOLD_130
Dsin_scaffold236	ORIGINAL_SCAFFOLD_131
Dsin_scaffold237	ORIGINAL_SCAFFOLD_132
Dsin_scaffold238	ORIGINAL_SCAFFOLD_133
Dsin_scaffold239	ORIGINAL_SCAFFOLD_134
Dsin_scaffold240	ORIGINAL_SCAFFOLD_135
Dsin_scaffold241	ORIGINAL_SCAFFOLD_136
Dsin_scaffold242	ORIGINAL_SCAFFOLD_137
Dsin_scaffold243	ORIGINAL_SCAFFOLD_138
Dsin_scaffold244	ORIGINAL_SCAFFOLD_139
Dsin_scaffold245	ORIGINAL_SCAFFOLD_140
Dsin_scaffold246	ORIGINAL_SCAFFOLD_141
Dsin_scaffold247	ORIGINAL_SCAFFOLD_142
Dsin_scaffold248	ORIGINAL_SCAFFOLD_143
Dsin_scaffold249	ORIGINAL_SCAFFOLD_144
Dsin_scaffold250	ORIGINAL_SCAFFOLD_145
Dsin_scaffold251	ORIGINAL_SCAFFOLD_146
Dsin_scaffold252	ORIGINAL_SCAFFOLD_148
Dsin_scaffold253	ORIGINAL_SCAFFOLD_151
Dsin_scaffold254	ORIGINAL_SCAFFOLD_152
Dsin_scaffold255	ORIGINAL_SCAFFOLD_153
Dsin_scaffold256	ORIGINAL_SCAFFOLD_154
Dsin_scaffold257	ORIGINAL_SCAFFOLD_156
Dsin_scaffold258	ORIGINAL_SCAFFOLD_157
Dsin_scaffold259	ORIGINAL_SCAFFOLD_158
Dsin_scaffold260	ORIGINAL_SCAFFOLD_159
Dsin_scaffold261	ORIGINAL_SCAFFOLD_160
Dsin_scaffold262	ORIGINAL_SCAFFOLD_161
Dsin_scaffold263	ORIGINAL_SCAFFOLD_162
Dsin_scaffold264	ORIGINAL_SCAFFOLD_163
Dsin_scaffold265	ORIGINAL_SCAFFOLD_164
Dsin_scaffold266	ORIGINAL_SCAFFOLD_165
Dsin_scaffold267	ORIGINAL_SCAFFOLD_166
Dsin_scaffold268	ORIGINAL_SCAFFOLD_167
Dsin_scaffold269	ORIGINAL_SCAFFOLD_168
Dsin_scaffold270	ORIGINAL_SCAFFOLD_169
Dsin_scaffold271	ORIGINAL_SCAFFOLD_170
Dsin_scaffold272	ORIGINAL_SCAFFOLD_171
Dsin_scaffold273	ORIGINAL_SCAFFOLD_172
Dsin_scaffold274	ORIGINAL_SCAFFOLD_173
Dsin_scaffold275	ORIGINAL_SCAFFOLD_174
Dsin_scaffold276	ORIGINAL_SCAFFOLD_175
Dsin_scaffold277	ORIGINAL_SCAFFOLD_176
Dsin_scaffold278	ORIGINAL_SCAFFOLD_177
Dsin_scaffold279	ORIGINAL_SCAFFOLD_178
Dsin_scaffold280	ORIGINAL_SCAFFOLD_179
Dsin_scaffold281	ORIGINAL_SCAFFOLD_180
Dsin_scaffold282	ORIGINAL_SCAFFOLD_181
Dsin_scaffold283	ORIGINAL_SCAFFOLD_182
Dsin_scaffold284	ORIGINAL_SCAFFOLD_183
Dsin_scaffold285	ORIGINAL_SCAFFOLD_184
Dsin_scaffold286	ORIGINAL_SCAFFOLD_185
Dsin_scaffold287	ORIGINAL_SCAFFOLD_186
Dsin_scaffold288	ORIGINAL_SCAFFOLD_187
Dsin_scaffold289	ORIGINAL_SCAFFOLD_188
Dsin_scaffold290	ORIGINAL_SCAFFOLD_189
Dsin_scaffold291	ORIGINAL_SCAFFOLD_190
Dsin_scaffold292	ORIGINAL_SCAFFOLD_191
Dsin_scaffold293	ORIGINAL_SCAFFOLD_192
Dsin_scaffold294	ORIGINAL_SCAFFOLD_193
Dsin_scaffold295	ORIGINAL_SCAFFOLD_194
Dsin_scaffold296	ORIGINAL_SCAFFOLD_195
Dsin_scaffold297	ORIGINAL_SCAFFOLD_196
Dsin_scaffold298	ORIGINAL_SCAFFOLD_197
Dsin_scaffold299	ORIGINAL_SCAFFOLD_198
Dsin_scaffold300	ORIGINAL_SCAFFOLD_199
Dsin_scaffold301	ORIGINAL_SCAFFOLD_200
Dsin_scaffold302	ORIGINAL_SCAFFOLD_201
Dsin_scaffold303	ORIGINAL_SCAFFOLD_202
Dsin_scaffold304	ORIGINAL_SCAFFOLD_204
Dsin_scaffold305	ORIGINAL_SCAFFOLD_205
Dsin_scaffold306	ORIGINAL_SCAFFOLD_206
Dsin_scaffold307	ORIGINAL_SCAFFOLD_207
Dsin_scaffold308	ORIGINAL_SCAFFOLD_208
Dsin_scaffold309	ORIGINAL_SCAFFOLD_209
Dsin_scaffold310	ORIGINAL_SCAFFOLD_210
Dsin_scaffold311	ORIGINAL_SCAFFOLD_211
Dsin_scaffold312	ORIGINAL_SCAFFOLD_212
Dsin_scaffold313	ORIGINAL_SCAFFOLD_213
Dsin_scaffold314	ORIGINAL_SCAFFOLD_214
Dsin_scaffold315	ORIGINAL_SCAFFOLD_215
Dsin_scaffold316	ORIGINAL_SCAFFOLD_217
Dsin_scaffold317	ORIGINAL_SCAFFOLD_218
Dsin_scaffold318	ORIGINAL_SCAFFOLD_220
Dsin_scaffold319	ORIGINAL_SCAFFOLD_221
Dsin_scaffold320	ORIGINAL_SCAFFOLD_223
Dsin_scaffold321	ORIGINAL_SCAFFOLD_225
Dsin_scaffold322	ORIGINAL_SCAFFOLD_226
Dsin_scaffold323	ORIGINAL_SCAFFOLD_227
Dsin_scaffold324	ORIGINAL_SCAFFOLD_228
Dsin_scaffold325	ORIGINAL_SCAFFOLD_229
Dsin_scaffold326	ORIGINAL_SCAFFOLD_230
Dsin_scaffold327	ORIGINAL_SCAFFOLD_231
Dsin_scaffold328	ORIGINAL_SCAFFOLD_232
Dsin_scaffold329	ORIGINAL_SCAFFOLD_233
Dsin_scaffold330	ORIGINAL_SCAFFOLD_234
Dsin_scaffold331	ORIGINAL_SCAFFOLD_235
Dsin_scaffold332	ORIGINAL_SCAFFOLD_236
Dsin_scaffold333	ORIGINAL_SCAFFOLD_238
Dsin_scaffold334	ORIGINAL_SCAFFOLD_239
Dsin_scaffold335	ORIGINAL_SCAFFOLD_240
Dsin_scaffold336	ORIGINAL_SCAFFOLD_241
Dsin_scaffold337	ORIGINAL_SCAFFOLD_242
Dsin_scaffold338	ORIGINAL_SCAFFOLD_243
Dsin_scaffold339	ORIGINAL_SCAFFOLD_244
Dsin_scaffold340	ORIGINAL_SCAFFOLD_245
Dsin_scaffold341	ORIGINAL_SCAFFOLD_246
Dsin_scaffold342	ORIGINAL_SCAFFOLD_247
Dsin_scaffold343	ORIGINAL_SCAFFOLD_248
Dsin_scaffold344	ORIGINAL_SCAFFOLD_249
Dsin_scaffold345	ORIGINAL_SCAFFOLD_250
Dsin_scaffold346	ORIGINAL_SCAFFOLD_251
Dsin_scaffold347	ORIGINAL_SCAFFOLD_253
Dsin_scaffold348	ORIGINAL_SCAFFOLD_254
Dsin_scaffold349	ORIGINAL_SCAFFOLD_255
Dsin_scaffold350	ORIGINAL_SCAFFOLD_256
Dsin_scaffold351	ORIGINAL_SCAFFOLD_257
Dsin_scaffold352	ORIGINAL_SCAFFOLD_258
Dsin_scaffold353	ORIGINAL_SCAFFOLD_259
Dsin_scaffold354	ORIGINAL_SCAFFOLD_260
Dsin_scaffold355	ORIGINAL_SCAFFOLD_261
Dsin_scaffold356	ORIGINAL_SCAFFOLD_262
Dsin_scaffold357	ORIGINAL_SCAFFOLD_263
Dsin_scaffold358	ORIGINAL_SCAFFOLD_264
Dsin_scaffold359	ORIGINAL_SCAFFOLD_265
Dsin_scaffold360	ORIGINAL_SCAFFOLD_266
Dsin_scaffold361	ORIGINAL_SCAFFOLD_267
Dsin_scaffold362	ORIGINAL_SCAFFOLD_268
Dsin_scaffold363	ORIGINAL_SCAFFOLD_269
Dsin_scaffold364	ORIGINAL_SCAFFOLD_270
Dsin_scaffold365	ORIGINAL_SCAFFOLD_271
Dsin_scaffold366	ORIGINAL_SCAFFOLD_272
Dsin_scaffold367	ORIGINAL_SCAFFOLD_273
Dsin_scaffold368	ORIGINAL_SCAFFOLD_274
Dsin_scaffold369	ORIGINAL_SCAFFOLD_275
Dsin_scaffold370	ORIGINAL_SCAFFOLD_276
Dsin_scaffold371	ORIGINAL_SCAFFOLD_277
Dsin_scaffold372	ORIGINAL_SCAFFOLD_278
Dsin_scaffold373	ORIGINAL_SCAFFOLD_280
Dsin_scaffold374	ORIGINAL_SCAFFOLD_282
Dsin_scaffold375	ORIGINAL_SCAFFOLD_283
Dsin_scaffold376	ORIGINAL_SCAFFOLD_284
Dsin_scaffold377	ORIGINAL_SCAFFOLD_285
Dsin_scaffold378	ORIGINAL_SCAFFOLD_286
Dsin_scaffold379	ORIGINAL_SCAFFOLD_287
Dsin_scaffold380	ORIGINAL_SCAFFOLD_288
Dsin_scaffold381	ORIGINAL_SCAFFOLD_289
Dsin_scaffold382	ORIGINAL_SCAFFOLD_290
Dsin_scaffold383	ORIGINAL_SCAFFOLD_291
Dsin_scaffold384	ORIGINAL_SCAFFOLD_292
Dsin_scaffold385	ORIGINAL_SCAFFOLD_293
Dsin_scaffold386	ORIGINAL_SCAFFOLD_294
Dsin_scaffold387	ORIGINAL_SCAFFOLD_295
Dsin_scaffold388	ORIGINAL_SCAFFOLD_296
Dsin_scaffold389	ORIGINAL_SCAFFOLD_297
Dsin_scaffold390	ORIGINAL_SCAFFOLD_298
Dsin_scaffold391	ORIGINAL_SCAFFOLD_299
Dsin_scaffold392	ORIGINAL_SCAFFOLD_300
Dsin_scaffold393	ORIGINAL_SCAFFOLD_301
Dsin_scaffold394	ORIGINAL_SCAFFOLD_302
Dsin_scaffold395	ORIGINAL_SCAFFOLD_303
Dsin_scaffold396	ORIGINAL_SCAFFOLD_304
Dsin_scaffold397	ORIGINAL_SCAFFOLD_305
Dsin_scaffold398	ORIGINAL_SCAFFOLD_306
Dsin_scaffold399	ORIGINAL_SCAFFOLD_307
Dsin_scaffold400	ORIGINAL_SCAFFOLD_308
Dsin_scaffold401	ORIGINAL_SCAFFOLD_309
Dsin_scaffold402	ORIGINAL_SCAFFOLD_310
Dsin_scaffold403	ORIGINAL_SCAFFOLD_311
Dsin_scaffold404	ORIGINAL_SCAFFOLD_312
Dsin_scaffold405	ORIGINAL_SCAFFOLD_313
Dsin_scaffold406	ORIGINAL_SCAFFOLD_314
Dsin_scaffold407	ORIGINAL_SCAFFOLD_315
Dsin_scaffold408	ORIGINAL_SCAFFOLD_316
Dsin_scaffold409	ORIGINAL_SCAFFOLD_317
Dsin_scaffold410	ORIGINAL_SCAFFOLD_318
Dsin_scaffold411	ORIGINAL_SCAFFOLD_319
Dsin_scaffold412	ORIGINAL_SCAFFOLD_320
Dsin_scaffold413	ORIGINAL_SCAFFOLD_321
Dsin_scaffold414	ORIGINAL_SCAFFOLD_322
Dsin_scaffold415	ORIGINAL_SCAFFOLD_323
Dsin_scaffold416	ORIGINAL_SCAFFOLD_325
Dsin_scaffold417	ORIGINAL_SCAFFOLD_326
Dsin_scaffold418	ORIGINAL_SCAFFOLD_327
Dsin_scaffold419	ORIGINAL_SCAFFOLD_328
Dsin_scaffold420	ORIGINAL_SCAFFOLD_329
Dsin_scaffold421	ORIGINAL_SCAFFOLD_330
Dsin_scaffold422	ORIGINAL_SCAFFOLD_331
Dsin_scaffold423	ORIGINAL_SCAFFOLD_332
Dsin_scaffold424	ORIGINAL_SCAFFOLD_333
Dsin_scaffold425	ORIGINAL_SCAFFOLD_335
Dsin_scaffold426	ORIGINAL_SCAFFOLD_336
Dsin_scaffold427	ORIGINAL_SCAFFOLD_338
Dsin_scaffold428	ORIGINAL_SCAFFOLD_339
Dsin_scaffold429	ORIGINAL_SCAFFOLD_340
Dsin_scaffold430	ORIGINAL_SCAFFOLD_341
Dsin_scaffold431	ORIGINAL_SCAFFOLD_342
Dsin_scaffold432	ORIGINAL_SCAFFOLD_343
Dsin_scaffold433	ORIGINAL_SCAFFOLD_344
Dsin_scaffold434	ORIGINAL_SCAFFOLD_345
Dsin_scaffold435	ORIGINAL_SCAFFOLD_346
Dsin_scaffold436	ORIGINAL_SCAFFOLD_347
Dsin_scaffold437	ORIGINAL_SCAFFOLD_348
Dsin_scaffold438	ORIGINAL_SCAFFOLD_349
Dsin_scaffold439	ORIGINAL_SCAFFOLD_350
Dsin_scaffold440	ORIGINAL_SCAFFOLD_351
Dsin_scaffold441	ORIGINAL_SCAFFOLD_353
Dsin_scaffold442	ORIGINAL_SCAFFOLD_354
Dsin_scaffold443	ORIGINAL_SCAFFOLD_355
Dsin_scaffold444	ORIGINAL_SCAFFOLD_357
Dsin_scaffold445	ORIGINAL_SCAFFOLD_358
Dsin_scaffold446	ORIGINAL_SCAFFOLD_359
Dsin_scaffold447	ORIGINAL_SCAFFOLD_360
Dsin_scaffold448	ORIGINAL_SCAFFOLD_361
Dsin_scaffold449	ORIGINAL_SCAFFOLD_362
Dsin_scaffold450	ORIGINAL_SCAFFOLD_363
