Apal030S000130.1	A.palmatum_Contig30_G00013.t1
Apal030S000140.1	A.palmatum_Contig30_G00014.t1
Apal031S000010.1	A.palmatum_Contig31_G00001.t1
Apal031S000020.1	A.palmatum_Contig31_G00002.t1
Apal031S000030.1	A.palmatum_Contig31_G00003.t1
Apal031S000040.1	A.palmatum_Contig31_G00004.t1
Apal031S000050.1	A.palmatum_Contig31_G00005.t1
Apal031S000060.1	A.palmatum_Contig31_G00006.t1
Apal031S000070.1	A.palmatum_Contig31_G00007.t1
Apal031S000080.1	A.palmatum_Contig31_G00008.t1
Apal031S000090.1	A.palmatum_Contig31_G00009.t1
Apal031S000100.1	A.palmatum_Contig31_G00010.t1
Apal031S000110.1	A.palmatum_Contig31_G00011.t1
Apal031S000120.1	A.palmatum_Contig31_G00012.t1
Apal031S000130.1	A.palmatum_Contig31_G00015.t1
Apal031S000140.1	A.palmatum_Contig31_G00016.t1
Apal031S000150.1	A.palmatum_Contig31_G00017.t1
Apal031S000160.1	A.palmatum_Contig31_G00018.t1
Apal031S000170.1	A.palmatum_Contig31_G00019.t1
Apal031S000180.1	A.palmatum_Contig31_G00020.t1
Apal031S000190.1	A.palmatum_Contig31_G00021.t1
Apal031S000200.1	A.palmatum_Contig31_G00022.t1
Apal032S000010.1	A.palmatum_Contig32_G00002.t1
Apal032S000020.1	A.palmatum_Contig32_G00003.t1
Apal032S000030.1	A.palmatum_Contig32_G00004.t1
Apal032S000040.1	A.palmatum_Contig32_G00005.t1
Apal032S000050.1	A.palmatum_Contig32_G00006.t1
Apal032S000060.1	A.palmatum_Contig32_G00007.t1
Apal032S000070.1	A.palmatum_Contig32_G00008.t1
Apal032S000080.1	A.palmatum_Contig32_G00009.t1
Apal032S000090.1	A.palmatum_Contig32_G00010.t1
Apal032S000100.1	A.palmatum_Contig32_G00011.t1
Apal033S000010.1	A.palmatum_Contig33_G00001.t1
Apal033S000020.1	A.palmatum_Contig33_G00002.t1
Apal033S000030.1	A.palmatum_Contig33_G00004.t1
Apal033S000040.1	A.palmatum_Contig33_G00005.t1
Apal033S000050.1	A.palmatum_Contig33_G00006.t1
Apal033S000060.1	A.palmatum_Contig33_G00007.t1
Apal033S000070.1	A.palmatum_Contig33_G00008.t1
Apal033S000080.1	A.palmatum_Contig33_G00009.t1
Apal033S000090.1	A.palmatum_Contig33_G00010.t1
Apal033S000100.1	A.palmatum_Contig33_G00011.t1
Apal033S000110.1	A.palmatum_Contig33_G00012.t1
Apal033S000120.1	A.palmatum_Contig33_G00013.t1
Apal033S000130.1	A.palmatum_Contig33_G00014.t1
Apal033S000140.1	A.palmatum_Contig33_G00015.t1
Apal033S000150.1	A.palmatum_Contig33_G00017.t1
Apal034S000010.1	A.palmatum_Contig34_G00001.t1
Apal034S000020.1	A.palmatum_Contig34_G00002.t1
Apal034S000030.1	A.palmatum_Contig34_G00003.t1
Apal034S000040.1	A.palmatum_Contig34_G00005.t1
Apal034S000050.1	A.palmatum_Contig34_G00006.t1
Apal035S000010.1	A.palmatum_Contig35_G00001.t1
Apal035S000020.1	A.palmatum_Contig35_G00002.t1
Apal035S000030.1	A.palmatum_Contig35_G00003.t1
Apal035S000040.1	A.palmatum_Contig35_G00004.t1
Apal035S000050.1	A.palmatum_Contig35_G00005.t1
