Acat06G002750.1	EVM0000353.1
Acat07G017960.1	EVM0000354.1
Acat1394S000080.1	EVM0000355.1
Acat02G024760.1	EVM0000356.1
Acat05G017730.1	EVM0000357.1
Acat12G019320.1	EVM0000358.1
Acat02G031620.1	EVM0000359.1
Acat0247S000100.1	EVM0000360.1
Acat11G022510.1	EVM0000361.1
Acat12G004280.1	EVM0000362.1
Acat04G020510.1	EVM0000363.1
Acat05G012370.1	EVM0000364.1
Acat0527S000090.1	EVM0000365.1
Acat03G010880.1	EVM0000366.1
Acat04G003920.1	EVM0000367.1
Acat01G033210.1	EVM0000368.1
Acat1894S000210.1	EVM0000369.1
Acat02G033080.1	EVM0000370.1
Acat13G019140.1	EVM0000371.1
Acat05G002370.1	EVM0000372.1
Acat11G010970.1	EVM0000373.1
Acat05G001620.1	EVM0000374.1
Acat10G007640.1	EVM0000375.1
Acat08G007270.1	EVM0000376.1
Acat01G023520.1	EVM0000377.1
Acat05G015920.1	EVM0000378.1
Acat01G024950.1	EVM0000379.1
Acat10G019960.1	EVM0000380.1
Acat11G011870.1	EVM0000381.1
Acat05G005440.1	EVM0000382.1
Acat0958S000860.1	EVM0000383.3
Acat03G033490.1	EVM0000384.1
Acat01G006020.1	EVM0000385.1
Acat11G007790.1	EVM0000386.1
Acat12G011960.1	EVM0000387.1
Acat12G004590.1	EVM0000388.1
Acat04G014640.1	EVM0000389.3
Acat02G034050.1	EVM0000390.1
Acat07G012190.1	EVM0000391.1
Acat04G003030.1	EVM0000392.1
Acat10G019570.1	EVM0000393.1
Acat13G016040.1	EVM0000394.1
Acat01G031740.1	EVM0000395.1
Acat10G016650.1	EVM0000396.1
Acat04G026590.1	EVM0000397.1
Acat03G001890.1	EVM0000398.1
Acat05G003310.1	EVM0000399.1
Acat05G014480.1	EVM0000400.1
Acat12G014710.1	EVM0000401.1
Acat07G015140.1	EVM0000402.1
Acat02G029560.1	EVM0000403.1
Acat02G025210.1	EVM0000404.1
Acat03G000500.1	EVM0000405.1
Acat07G004440.1	EVM0000406.1
Acat01G028090.1	EVM0000407.1
Acat04G005220.1	EVM0000408.1
Acat11G023890.1	EVM0000409.1
Acat01G012420.1	EVM0000410.1
Acat09G010600.1	EVM0000411.1
Acat09G014670.1	EVM0000412.1
Acat05G004990.1	EVM0000413.1
Acat07G000150.1	EVM0000414.1
Acat13G006620.1	EVM0000415.1
Acat0858S000060.1	EVM0000416.1
Acat13G014040.1	EVM0000417.1
Acat11G008810.1	EVM0000418.1
Acat04G013370.1	EVM0000419.1
Acat06G017500.1	EVM0000420.1
Acat02G002290.1	EVM0000421.1
Acat01G002230.1	EVM0000422.1
Acat05G006110.1	EVM0000423.1
Acat02G000410.1	EVM0000424.1
Acat09G002330.1	EVM0000425.1
Acat01G023510.1	EVM0000426.1
Acat03G019650.1	EVM0000427.1
Acat03G027900.1	EVM0000428.1
Acat06G014860.1	EVM0000429.1
Acat06G017730.1	EVM0000430.1
Acat09G015410.1	EVM0000431.1
Acat1541S000360.1	EVM0000432.1
Acat1452S000100.1	EVM0000433.1
Acat06G000710.1	EVM0000434.1
Acat0349S000010.1	EVM0000435.1
Acat04G015430.1	EVM0000436.1
Acat01G026650.1	EVM0000437.1
Acat01G002260.1	EVM0000438.1
Acat04G009660.1	EVM0000439.1
Acat13G018490.1	EVM0000440.1
Acat1057S000040.1	EVM0000441.1
Acat02G021370.1	EVM0000442.1
Acat10G019650.1	EVM0000443.1
Acat06G013040.1	EVM0000444.1
Acat01G023930.1	EVM0000445.1
Acat10G006410.1	EVM0000446.1
Acat02G009520.1	EVM0000447.1
Acat09G013550.1	EVM0000448.1
Acat03G020480.1	EVM0000449.1
Acat03G031920.1	EVM0000450.1
Acat11G019120.1	EVM0000451.1
Acat07G007940.1	EVM0000452.1
Acat1416S000310.1	EVM0000453.1
Acat07G000750.1	EVM0000454.1
Acat03G002170.1	EVM0000455.1
Acat08G006280.1	EVM0000456.1
Acat06G000790.1	EVM0000457.1
Acat03G028050.1	EVM0000458.1
Acat11G023930.1	EVM0000459.1
Acat04G023360.1	EVM0000460.1
Acat06G012690.1	EVM0000461.1
Acat01G017740.1	EVM0000462.1
Acat13G012300.1	EVM0000463.1
Acat06G010230.1	EVM0000464.1
Acat12G016060.1	EVM0000465.1
Acat03G023090.1	EVM0000466.1
Acat08G002180.1	EVM0000467.2
Acat1894S000090.1	EVM0000468.1
Acat03G016180.1	EVM0000469.1
Acat02G007150.1	EVM0000470.1
Acat04G005490.1	EVM0000471.1
Acat1541S000480.1	EVM0000472.1
Acat04G028710.1	EVM0000473.1
Acat07G012120.1	EVM0000474.1
Acat04G014320.1	EVM0000475.1
Acat03G010710.1	EVM0000476.1
Acat03G008650.1	EVM0000477.1
Acat03G023910.1	EVM0000478.1
Acat08G008580.1	EVM0000479.1
