Apal01G004100	A.palmatum_LG01_G00421
Apal01G004110	A.palmatum_LG01_G00422
Apal01G004120	A.palmatum_LG01_G00423
Apal01G004130	A.palmatum_LG01_G00424
Apal01G004140	A.palmatum_LG01_G00425
Apal01G004150	A.palmatum_LG01_G00426
Apal01G004160	A.palmatum_LG01_G00427
Apal01G004170	A.palmatum_LG01_G00428
Apal01G004180	A.palmatum_LG01_G00429
Apal01G004190	A.palmatum_LG01_G00430
Apal01G004200	A.palmatum_LG01_G00431
Apal01G004210	A.palmatum_LG01_G00432
Apal01G004220	A.palmatum_LG01_G00433
Apal01G004230	A.palmatum_LG01_G00434
Apal01G004240	A.palmatum_LG01_G00435
Apal01G004250	A.palmatum_LG01_G00436
Apal01G004260	A.palmatum_LG01_G00437
Apal01G004270	A.palmatum_LG01_G00438
Apal01G004280	A.palmatum_LG01_G00439
Apal01G004290	A.palmatum_LG01_G00440
Apal01G004300	A.palmatum_LG01_G00441
Apal01G004310	A.palmatum_LG01_G00442
Apal01G004320	A.palmatum_LG01_G00443
Apal01G004330	A.palmatum_LG01_G00444
Apal01G004340	A.palmatum_LG01_G00445
Apal01G004350	A.palmatum_LG01_G00446
Apal01G004360	A.palmatum_LG01_G00447
Apal01G004370	A.palmatum_LG01_G00448
Apal01G004380	A.palmatum_LG01_G00449
Apal01G004390	A.palmatum_LG01_G00450
Apal01G004400	A.palmatum_LG01_G00451
Apal01G004410	A.palmatum_LG01_G00452
Apal01G004420	A.palmatum_LG01_G00453
Apal01G004430	A.palmatum_LG01_G00454
Apal01G004440	A.palmatum_LG01_G00455
Apal01G004450	A.palmatum_LG01_G00456
Apal01G004460	A.palmatum_LG01_G00457
Apal01G004470	A.palmatum_LG01_G00458
Apal01G004480	A.palmatum_LG01_G00459
Apal01G004490	A.palmatum_LG01_G00460
Apal01G004500	A.palmatum_LG01_G00461
Apal01G004510	A.palmatum_LG01_G00463
Apal01G004520	A.palmatum_LG01_G00464
